id,label
1,0
2,0
3,0
4,1
5,0
6,4
7,3
8,1
9,1
10,5
11,3
12,0
13,0
14,1
15,2
16,0
17,1
18,0
19,3
20,1
21,1
22,1
23,1
24,0
25,0
26,4
27,3
28,0
29,4
30,3
31,4
32,0
33,0
34,3
35,0
36,1
37,5
38,0
39,1
40,2
41,3
42,0
43,1
44,0
45,1
46,3
47,1
48,1
49,4
50,4
51,0
52,4
53,1
54,3
55,1
56,0
57,0
58,1
59,0
60,3
61,0
62,0
63,1
64,1
65,0
66,5
67,0
68,0
69,4
70,5
71,1
72,2
73,2
74,1
75,1
76,3
77,1
78,0
79,1
80,2
81,1
82,3
83,0
84,1
85,0
86,0
87,2
88,1
89,1
90,0
91,1
92,4
93,3
94,4
95,0
96,3
97,2
98,1
99,4
100,0
101,0
102,0
103,0
104,3
105,3
106,3
107,1
108,1
109,0
110,0
111,1
112,1
113,4
114,1
115,0
116,1
117,1
118,4
119,0
120,1
121,0
122,3
123,0
124,3
125,0
126,1
127,0
128,4
129,0
130,0
131,1
132,1
133,0
134,3
135,3
136,1
137,4
138,0
139,0
140,1
141,1
142,0
143,4
144,1
145,1
146,0
147,1
148,4
149,4
150,2
151,0
152,2
153,4
154,0
155,1
156,0
157,1
158,1
159,3
160,0
161,3
162,3
163,1
164,4
165,1
166,1
167,1
168,2
169,2
170,0
171,2
172,3
173,1
174,1
175,0
176,3
177,1
178,1
179,0
180,0
181,4
182,1
183,0
184,2
185,4
186,0
187,1
188,0
189,5
190,3
191,1
192,0
193,1
194,0
195,0
196,0
197,4
198,4
199,1
200,1
201,1
202,2
203,2
204,1
205,1
206,1
207,1
208,4
209,4
210,1
211,3
212,0
213,0
214,4
215,1
216,0
217,3
218,0
219,3
220,3
221,1
222,4
223,5
224,0
225,0
226,1
227,3
228,1
229,2
230,0
231,0
232,0
233,1
234,1
235,4
236,1
237,0
238,1
239,0
240,1
241,0
242,2
243,0
244,1
245,0
246,0
247,0
248,3
249,1
250,1
251,0
252,0
253,0
254,1
255,2
256,0
257,1
258,1
259,0
260,3
261,3
262,4
263,2
264,3
265,3
266,1
267,4
268,1
269,3
270,1
271,3
272,3
273,1
274,0
275,0
276,0
277,1
278,4
279,3
280,0
